sample_id,id,storage_condition,reactor,filtered,RNase_treated,time_point,dilution_factor,target,task,CT,plate_id,Exp_loc,experiment,experiment_manuscript_label
extraction_intpos_Matrix-N-C10-1x,extraction_intposOL_Matrix,NA,NA,NA,N,C10,1,ORF,UNKNOWN,25.27457,P83,CDC_collab,extraction_control_1234,control
extraction_intpos_Matrix-Y-C10-1x,extraction_intposOL_Matrix,NA,NA,NA,Y,C10,1,ORF,UNKNOWN,24.87499,P83,CDC_collab,extraction_control_1234,control
extraction_intpos_Matrix-Y-C9-1x,extraction_intposOL_Matrix,NA,NA,NA,Y,C9,1,ORF,UNKNOWN,24.56573,P83,CDC_collab,extraction_control_1234,control
extraction_RNApos_Matrix-Y-C10-1x,extraction_RNAposOL_Matrix,NA,NA,NA,Y,C10,1,ORF,UNKNOWN,Undetermined,P83,CDC_collab,extraction_control_1234,control
extraction_RNApos_Matrix-Y-C10-1x,extraction_RNAposOL_Matrix,NA,NA,NA,Y,C10,1,ORF,UNKNOWN,Undetermined,P83,CDC_collab,extraction_control_1234,control
extraction_intpos_Matrix-N-C9-1x,extraction_intposOL_Matrix,NA,NA,NA,N,C9,1,ORF,UNKNOWN,24.4572,P83,CDC_collab,extraction_control_1234,control
extraction_intpos_Matrix-N-C9-1x,extraction_intposOL_Matrix,NA,NA,NA,N,C9,1,ORF,UNKNOWN,24.36129,P83,CDC_collab,extraction_control_1234,control
extraction_intpos_Matrix-Y-C9-1x,extraction_intposOL_Matrix,NA,NA,NA,Y,C9,1,ORF,UNKNOWN,24.64111,P83,CDC_collab,extraction_control_1234,control
NA,NA,NA,NA,NA,NA,NA,NA,ORF,NTC,Undetermined,P83,CDC_collab,extraction_control_1234,control
extraction_intpos_Matrix-Y-C8-1x,extraction_intposOL_Matrix,NA,NA,NA,Y,C8,1,ORF,UNKNOWN,25.94239,P83,CDC_collab,extraction_control_1234,control
extraction_RNApos_Matrix-N-C10-1x,extraction_RNAposOL_Matrix,NA,NA,NA,N,C10,1,ORF,UNKNOWN,32.73374,P83,CDC_collab,extraction_control_1234,control
extraction_RNApos_Matrix-N-C10-1x,extraction_RNAposOL_Matrix,NA,NA,NA,N,C10,1,ORF,UNKNOWN,32.66782,P83,CDC_collab,extraction_control_1234,control
NA,NA,NA,NA,NA,NA,NA,NA,ORF,NTC,Undetermined,P83,CDC_collab,extraction_control_1234,control
extraction_intpos_Matrix-N-C8-1x,extraction_intposOL_Matrix,NA,NA,NA,N,C8,1,ORF,UNKNOWN,24.21289,P83,CDC_collab,extraction_control_1234,control
extraction_intpos_Matrix-N-C8-1x,extraction_intposOL_Matrix,NA,NA,NA,N,C8,1,ORF,UNKNOWN,24.16144,P83,CDC_collab,extraction_control_1234,control
extraction_intpos_Matrix-Y-C8-1x,extraction_intposOL_Matrix,NA,NA,NA,Y,C8,1,ORF,UNKNOWN,25.92391,P83,CDC_collab,extraction_control_1234,control
15A5F-N-T0-1x,15A5F,15,A5,F,N,T0,1,ORF,UNKNOWN,22.81716,P1000,CDC_collab,1,15-1
15A5F-N-T0-1x,15A5F,15,A5,F,N,T0,1,ORF,UNKNOWN,22.70882,P1000,CDC_collab,1,15-1
15A5F-N-T14-1x,15A5F,15,A5,F,N,T14,1,ORF,UNKNOWN,23.99151,P1000,CDC_collab,1,15-1
15A5F-N-T14-1x,15A5F,15,A5,F,N,T14,1,ORF,UNKNOWN,24.13755,P1000,CDC_collab,1,15-1
15A5F-N-T1-1x,15A5F,15,A5,F,N,T1,1,ORF,UNKNOWN,21.8249,P1000,CDC_collab,1,15-1
15A5F-N-T1-1x,15A5F,15,A5,F,N,T1,1,ORF,UNKNOWN,21.86166,P1000,CDC_collab,1,15-1
15A5F-N-T21-1x,15A5F,15,A5,F,N,T21,1,ORF,UNKNOWN,25.70675,P1000,CDC_collab,1,15-1
15A5F-N-T21-1x,15A5F,15,A5,F,N,T21,1,ORF,UNKNOWN,25.48495,P1000,CDC_collab,1,15-1
15A5F-N-T7-1x,15A5F,15,A5,F,N,T7,1,ORF,UNKNOWN,23.85927,P1000,CDC_collab,1,15-1
15A5F-N-T7-1x,15A5F,15,A5,F,N,T7,1,ORF,UNKNOWN,23.74665,P1000,CDC_collab,1,15-1
15A5F-N-T28-1x,15A5F,15,A5,F,N,T28,1,ORF,UNKNOWN,25.45188,P1000,CDC_collab,1,15-1
15A5F-N-T28-1x,15A5F,15,A5,F,N,T28,1,ORF,UNKNOWN,25.11657,P1000,CDC_collab,1,15-1
NA,NA,NA,NA,NA,NA,NA,NA,ORF,NTC,Undetermined,P1000,CDC_collab,extraction_control_1234,control
NA,NA,NA,NA,NA,NA,NA,NA,ORF,NTC,Undetermined,P1000,CDC_collab,extraction_control_1234,control
NA,NA,NA,NA,NA,NA,NA,NA,ORF,NTC,Undetermined,P1000,CDC_collab,extraction_control_1234,control
15A5F-N-T0-1x,15A5F,15,A5,F,N,T0,1,MK3,UNKNOWN,27.98728,P1001,CDC_collab,1,15-1
15A5F-N-T0-1x,15A5F,15,A5,F,N,T0,1,MK3,UNKNOWN,28.16061,P1001,CDC_collab,1,15-1
15A5F-N-T21-1x,15A5F,15,A5,F,N,T21,1,MK3,UNKNOWN,32.46227,P1001,CDC_collab,1,15-1
15A5F-N-T0-1x,15A5F,15,A5,F,N,T0,1,MK1,UNKNOWN,32.21823,P1001,CDC_collab,1,15-1
15A5F-N-T0-1x,15A5F,15,A5,F,N,T0,1,MK1,UNKNOWN,31.71808,P1001,CDC_collab,1,15-1
15A5F-N-T21-1x,15A5F,15,A5,F,N,T21,1,MK1,UNKNOWN,37.05312,P1001,CDC_collab,1,15-1
15A5F-N-T21-1x,15A5F,15,A5,F,N,T21,1,MK3,UNKNOWN,33.00628,P1001,CDC_collab,1,15-1
15A5F-N-T21-1x,15A5F,15,A5,F,N,T21,1,MK1,UNKNOWN,37.05664,P1001,CDC_collab,1,15-1
15A5F-N-T1-1x,15A5F,15,A5,F,N,T1,1,MK3,UNKNOWN,28.03423,P1001,CDC_collab,1,15-1
15A5F-N-T1-1x,15A5F,15,A5,F,N,T1,1,MK3,UNKNOWN,27.9416,P1001,CDC_collab,1,15-1
15A5F-N-T1-1x,15A5F,15,A5,F,N,T1,1,MK1,UNKNOWN,32.23106,P1001,CDC_collab,1,15-1
15A5F-N-T1-1x,15A5F,15,A5,F,N,T1,1,MK1,UNKNOWN,31.83095,P1001,CDC_collab,1,15-1
15A5F-N-T7-1x,15A5F,15,A5,F,N,T7,1,MK3,UNKNOWN,30.10247,P1001,CDC_collab,1,15-1
15A5F-N-T7-1x,15A5F,15,A5,F,N,T7,1,MK3,UNKNOWN,30.02954,P1001,CDC_collab,1,15-1
15A5F-N-T28-1x,15A5F,15,A5,F,N,T28,1,MK3,UNKNOWN,31.6047,P1001,CDC_collab,1,15-1
15A5F-N-T7-1x,15A5F,15,A5,F,N,T7,1,MK1,UNKNOWN,34.72047,P1001,CDC_collab,1,15-1
15A5F-N-T7-1x,15A5F,15,A5,F,N,T7,1,MK1,UNKNOWN,34.53765,P1001,CDC_collab,1,15-1
15A5F-N-T28-1x,15A5F,15,A5,F,N,T28,1,MK1,UNKNOWN,37.70568,P1001,CDC_collab,1,15-1
15A5F-N-T28-1x,15A5F,15,A5,F,N,T28,1,MK3,UNKNOWN,31.70033,P1001,CDC_collab,1,15-1
15A5F-N-T28-1x,15A5F,15,A5,F,N,T28,1,MK1,UNKNOWN,37.32701,P1001,CDC_collab,1,15-1
15A5F-N-T14-1x,15A5F,15,A5,F,N,T14,1,MK3,UNKNOWN,29.91049,P1001,CDC_collab,1,15-1
15A5F-N-T14-1x,15A5F,15,A5,F,N,T14,1,MK3,UNKNOWN,30.01657,P1001,CDC_collab,1,15-1
15A5F-N-T14-1x,15A5F,15,A5,F,N,T14,1,MK1,UNKNOWN,34.21017,P1001,CDC_collab,1,15-1
15A5F-N-T14-1x,15A5F,15,A5,F,N,T14,1,MK1,UNKNOWN,34.23953,P1001,CDC_collab,1,15-1
NA,NA,NA,NA,NA,NA,NA,NA,MK1,NTC,Undetermined,P1001,CDC_collab,extraction_control_1234,control
NA,NA,NA,NA,NA,NA,NA,NA,MK1,NTC,Undetermined,P1001,CDC_collab,extraction_control_1234,control
NA,NA,NA,NA,NA,NA,NA,NA,MK3,NTC,Undetermined,P1001,CDC_collab,extraction_control_1234,control
NA,NA,NA,NA,NA,NA,NA,NA,MK3,NTC,Undetermined,P1001,CDC_collab,extraction_control_1234,control
15A5F-N-T0-1x,15A5F,15,A5,F,N,T0,1,MK7,UNKNOWN,28.25972,P1002,CDC_collab,1,15-1
15A5F-N-T0-1x,15A5F,15,A5,F,N,T0,1,MK7,UNKNOWN,28.21435,P1002,CDC_collab,1,15-1
15A5F-N-T21-1x,15A5F,15,A5,F,N,T21,1,MK7,UNKNOWN,33.39974,P1002,CDC_collab,1,15-1
15A5F-N-T0-1x,15A5F,15,A5,F,N,T0,1,MK5,UNKNOWN,29.07135,P1002,CDC_collab,1,15-1
15A5F-N-T0-1x,15A5F,15,A5,F,N,T0,1,MK5,UNKNOWN,29.05323,P1002,CDC_collab,1,15-1
15A5F-N-T21-1x,15A5F,15,A5,F,N,T21,1,MK5,UNKNOWN,32.92828,P1002,CDC_collab,1,15-1
15A5F-N-T21-1x,15A5F,15,A5,F,N,T21,1,MK7,UNKNOWN,32.68285,P1002,CDC_collab,1,15-1
15A5F-N-T21-1x,15A5F,15,A5,F,N,T21,1,MK5,UNKNOWN,33.1106,P1002,CDC_collab,1,15-1
15A5F-N-T1-1x,15A5F,15,A5,F,N,T1,1,MK7,UNKNOWN,28.30977,P1002,CDC_collab,1,15-1
15A5F-N-T1-1x,15A5F,15,A5,F,N,T1,1,MK7,UNKNOWN,28.52004,P1002,CDC_collab,1,15-1
15A5F-N-T1-1x,15A5F,15,A5,F,N,T1,1,MK5,UNKNOWN,28.86587,P1002,CDC_collab,1,15-1
15A5F-N-T1-1x,15A5F,15,A5,F,N,T1,1,MK5,UNKNOWN,28.8041,P1002,CDC_collab,1,15-1
15A5F-N-T7-1x,15A5F,15,A5,F,N,T7,1,MK7,UNKNOWN,30.76354,P1002,CDC_collab,1,15-1
15A5F-N-T7-1x,15A5F,15,A5,F,N,T7,1,MK7,UNKNOWN,30.87083,P1002,CDC_collab,1,15-1
15A5F-N-T28-1x,15A5F,15,A5,F,N,T28,1,MK7,UNKNOWN,34.33833,P1002,CDC_collab,1,15-1
15A5F-N-T7-1x,15A5F,15,A5,F,N,T7,1,MK5,UNKNOWN,31.54987,P1002,CDC_collab,1,15-1
15A5F-N-T7-1x,15A5F,15,A5,F,N,T7,1,MK5,UNKNOWN,31.61749,P1002,CDC_collab,1,15-1
15A5F-N-T28-1x,15A5F,15,A5,F,N,T28,1,MK5,UNKNOWN,32.93917,P1002,CDC_collab,1,15-1
15A5F-N-T28-1x,15A5F,15,A5,F,N,T28,1,MK7,UNKNOWN,33.18188,P1002,CDC_collab,1,15-1
15A5F-N-T28-1x,15A5F,15,A5,F,N,T28,1,MK5,UNKNOWN,32.88382,P1002,CDC_collab,1,15-1
15A5F-N-T14-1x,15A5F,15,A5,F,N,T14,1,MK7,UNKNOWN,30.69403,P1002,CDC_collab,1,15-1
15A5F-N-T14-1x,15A5F,15,A5,F,N,T14,1,MK7,UNKNOWN,30.55538,P1002,CDC_collab,1,15-1
15A5F-N-T14-1x,15A5F,15,A5,F,N,T14,1,MK5,UNKNOWN,31.12247,P1002,CDC_collab,1,15-1
15A5F-N-T14-1x,15A5F,15,A5,F,N,T14,1,MK5,UNKNOWN,31.39694,P1002,CDC_collab,1,15-1
NA,NA,NA,NA,NA,NA,NA,NA,MK5,NTC,Undetermined,P1002,CDC_collab,extraction_control_1234,control
NA,NA,NA,NA,NA,NA,NA,NA,MK5,NTC,Undetermined,P1002,CDC_collab,extraction_control_1234,control
NA,NA,NA,NA,NA,NA,NA,NA,MK7,NTC,37.64777,P1002,CDC_collab,extraction_control_1234,control
NA,NA,NA,NA,NA,NA,NA,NA,MK7,NTC,37.75857,P1002,CDC_collab,extraction_control_1234,control
15A6F-N-T0-1x,15A6F,15,A6,F,N,T0,1,MK1,UNKNOWN,28.70292,P1003,CDC_collab,2,15-2
15A6F-N-T0-1x,15A6F,15,A6,F,N,T0,1,MK1,UNKNOWN,28.64338,P1003,CDC_collab,2,15-2
15A6F-N-T0-1x,15A6F,15,A6,F,N,T0,1,MK3,UNKNOWN,23.935,P1003,CDC_collab,2,15-2
15A6F-N-T0-1x,15A6F,15,A6,F,N,T0,1,MK3,UNKNOWN,23.9783,P1003,CDC_collab,2,15-2
15A6F-N-T1-1x,15A6F,15,A6,F,N,T1,1,MK1,UNKNOWN,27.73845,P1003,CDC_collab,2,15-2
15A6F-N-T1-1x,15A6F,15,A6,F,N,T1,1,MK1,UNKNOWN,27.75321,P1003,CDC_collab,2,15-2
15A6F-N-T1-1x,15A6F,15,A6,F,N,T1,1,MK3,UNKNOWN,22.97577,P1003,CDC_collab,2,15-2
15A6F-N-T1-1x,15A6F,15,A6,F,N,T1,1,MK3,UNKNOWN,22.77208,P1003,CDC_collab,2,15-2
15A6F-N-T3-1x,15A6F,15,A6,F,N,T3,1,MK1,UNKNOWN,28.79115,P1003,CDC_collab,2,15-2
15A6F-N-T3-1x,15A6F,15,A6,F,N,T3,1,MK1,UNKNOWN,28.77922,P1003,CDC_collab,2,15-2
15A6F-N-T3-1x,15A6F,15,A6,F,N,T3,1,MK3,UNKNOWN,23.84756,P1003,CDC_collab,2,15-2
15A6F-N-T3-1x,15A6F,15,A6,F,N,T3,1,MK3,UNKNOWN,23.59832,P1003,CDC_collab,2,15-2
15A6F-N-T5-1x,15A6F,15,A6,F,N,T5,1,MK1,UNKNOWN,28.20609,P1003,CDC_collab,2,15-2
15A6F-N-T5-1x,15A6F,15,A6,F,N,T5,1,MK1,UNKNOWN,28.30059,P1003,CDC_collab,2,15-2
15A6F-N-T5-1x,15A6F,15,A6,F,N,T5,1,MK3,UNKNOWN,23.40424,P1003,CDC_collab,2,15-2
15A6F-N-T5-1x,15A6F,15,A6,F,N,T5,1,MK3,UNKNOWN,23.35248,P1003,CDC_collab,2,15-2
15A6F-Y-T0-1x,15A6F,15,A6,F,Y,T0,1,MK1,UNKNOWN,29.0969,P1003,CDC_collab,2,15-2
15A6F-Y-T0-1x,15A6F,15,A6,F,Y,T0,1,MK1,UNKNOWN,29.17702,P1003,CDC_collab,2,15-2
15A6F-Y-T0-1x,15A6F,15,A6,F,Y,T0,1,MK3,UNKNOWN,23.81011,P1003,CDC_collab,2,15-2
15A6F-Y-T0-1x,15A6F,15,A6,F,Y,T0,1,MK3,UNKNOWN,23.86746,P1003,CDC_collab,2,15-2
15A6F-Y-T1-1x,15A6F,15,A6,F,Y,T1,1,MK1,UNKNOWN,27.90701,P1003,CDC_collab,2,15-2
15A6F-Y-T1-1x,15A6F,15,A6,F,Y,T1,1,MK1,UNKNOWN,27.78829,P1003,CDC_collab,2,15-2
15A6F-Y-T1-1x,15A6F,15,A6,F,Y,T1,1,MK3,UNKNOWN,22.78753,P1003,CDC_collab,2,15-2
15A6F-Y-T1-1x,15A6F,15,A6,F,Y,T1,1,MK3,UNKNOWN,22.97327,P1003,CDC_collab,2,15-2
15A6F-Y-T3-1x,15A6F,15,A6,F,Y,T3,1,MK1,UNKNOWN,28.98086,P1003,CDC_collab,2,15-2
15A6F-Y-T3-1x,15A6F,15,A6,F,Y,T3,1,MK1,UNKNOWN,29.14044,P1003,CDC_collab,2,15-2
15A6F-Y-T3-1x,15A6F,15,A6,F,Y,T3,1,MK3,UNKNOWN,23.67241,P1003,CDC_collab,2,15-2
15A6F-Y-T3-1x,15A6F,15,A6,F,Y,T3,1,MK3,UNKNOWN,23.94715,P1003,CDC_collab,2,15-2
NA,NA,NA,NA,NA,NA,NA,NA,MK1,NTC,Undetermined,P1003,CDC_collab,extraction_control_1234,control
NA,NA,NA,NA,NA,NA,NA,NA,MK1,NTC,Undetermined,P1003,CDC_collab,extraction_control_1234,control
NA,NA,NA,NA,NA,NA,NA,NA,MK1,NTC,Undetermined,P1003,CDC_collab,extraction_control_1234,control
15A6F-Y-T5-1x,15A6F,15,A6,F,Y,T5,1,MK1,UNKNOWN,27.91211,P1003,CDC_collab,2,15-2
15A6F-Y-T5-1x,15A6F,15,A6,F,Y,T5,1,MK1,UNKNOWN,27.9207,P1003,CDC_collab,2,15-2
NA,NA,NA,NA,NA,NA,NA,NA,MK3,NTC,Undetermined,P1003,CDC_collab,extraction_control_1234,control
NA,NA,NA,NA,NA,NA,NA,NA,MK3,NTC,Undetermined,P1003,CDC_collab,extraction_control_1234,control
NA,NA,NA,NA,NA,NA,NA,NA,MK3,NTC,Undetermined,P1003,CDC_collab,extraction_control_1234,control
15A6F-Y-T5-1x,15A6F,15,A6,F,Y,T5,1,MK3,UNKNOWN,23.24405,P1003,CDC_collab,2,15-2
15A6F-Y-T5-1x,15A6F,15,A6,F,Y,T5,1,MK3,UNKNOWN,23.3186,P1003,CDC_collab,2,15-2
15A6F-N-T0-1x,15A6F,15,A6,F,N,T0,1,MK5,UNKNOWN,26.19202,P1004,CDC_collab,2,15-2
15A6F-N-T0-1x,15A6F,15,A6,F,N,T0,1,MK5,UNKNOWN,24.85223,P1004,CDC_collab,2,15-2
15A6F-N-T0-1x,15A6F,15,A6,F,N,T0,1,MK7,UNKNOWN,24.21514,P1004,CDC_collab,2,15-2
15A6F-N-T0-1x,15A6F,15,A6,F,N,T0,1,MK7,UNKNOWN,24.00446,P1004,CDC_collab,2,15-2
15A6F-N-T1-1x,15A6F,15,A6,F,N,T1,1,MK5,UNKNOWN,24.15089,P1004,CDC_collab,2,15-2
15A6F-N-T1-1x,15A6F,15,A6,F,N,T1,1,MK5,UNKNOWN,24.22872,P1004,CDC_collab,2,15-2
15A6F-N-T1-1x,15A6F,15,A6,F,N,T1,1,MK7,UNKNOWN,23.53632,P1004,CDC_collab,2,15-2
15A6F-N-T1-1x,15A6F,15,A6,F,N,T1,1,MK7,UNKNOWN,23.47293,P1004,CDC_collab,2,15-2
15A6F-N-T3-1x,15A6F,15,A6,F,N,T3,1,MK5,UNKNOWN,24.99556,P1004,CDC_collab,2,15-2
15A6F-N-T3-1x,15A6F,15,A6,F,N,T3,1,MK5,UNKNOWN,25.14672,P1004,CDC_collab,2,15-2
15A6F-N-T3-1x,15A6F,15,A6,F,N,T3,1,MK7,UNKNOWN,24.53788,P1004,CDC_collab,2,15-2
15A6F-N-T3-1x,15A6F,15,A6,F,N,T3,1,MK7,UNKNOWN,35.44351,P1004,CDC_collab,2,15-2
15A6F-N-T5-1x,15A6F,15,A6,F,N,T5,1,MK5,UNKNOWN,24.49526,P1004,CDC_collab,2,15-2
15A6F-N-T5-1x,15A6F,15,A6,F,N,T5,1,MK5,UNKNOWN,24.51828,P1004,CDC_collab,2,15-2
15A6F-N-T5-1x,15A6F,15,A6,F,N,T5,1,MK7,UNKNOWN,23.76656,P1004,CDC_collab,2,15-2
15A6F-N-T5-1x,15A6F,15,A6,F,N,T5,1,MK7,UNKNOWN,23.72616,P1004,CDC_collab,2,15-2
15A6F-Y-T0-1x,15A6F,15,A6,F,Y,T0,1,MK5,UNKNOWN,25.14777,P1004,CDC_collab,2,15-2
15A6F-Y-T0-1x,15A6F,15,A6,F,Y,T0,1,MK5,UNKNOWN,25.08953,P1004,CDC_collab,2,15-2
15A6F-Y-T0-1x,15A6F,15,A6,F,Y,T0,1,MK7,UNKNOWN,24.53285,P1004,CDC_collab,2,15-2
15A6F-Y-T0-1x,15A6F,15,A6,F,Y,T0,1,MK7,UNKNOWN,24.33139,P1004,CDC_collab,2,15-2
15A6F-Y-T1-1x,15A6F,15,A6,F,Y,T1,1,MK5,UNKNOWN,24.14048,P1004,CDC_collab,2,15-2
15A6F-Y-T1-1x,15A6F,15,A6,F,Y,T1,1,MK5,UNKNOWN,23.96134,P1004,CDC_collab,2,15-2
15A6F-Y-T1-1x,15A6F,15,A6,F,Y,T1,1,MK7,UNKNOWN,23.2116,P1004,CDC_collab,2,15-2
15A6F-Y-T1-1x,15A6F,15,A6,F,Y,T1,1,MK7,UNKNOWN,23.39807,P1004,CDC_collab,2,15-2
15A6F-Y-T3-1x,15A6F,15,A6,F,Y,T3,1,MK5,UNKNOWN,24.83783,P1004,CDC_collab,2,15-2
15A6F-Y-T3-1x,15A6F,15,A6,F,Y,T3,1,MK5,UNKNOWN,24.97189,P1004,CDC_collab,2,15-2
15A6F-Y-T3-1x,15A6F,15,A6,F,Y,T3,1,MK7,UNKNOWN,24.01796,P1004,CDC_collab,2,15-2
15A6F-Y-T3-1x,15A6F,15,A6,F,Y,T3,1,MK7,UNKNOWN,23.95307,P1004,CDC_collab,2,15-2
NA,NA,NA,NA,NA,NA,NA,NA,MK5,NTC,Undetermined,P1004,CDC_collab,extraction_control_1234,control
NA,NA,NA,NA,NA,NA,NA,NA,MK5,NTC,Undetermined,P1004,CDC_collab,extraction_control_1234,control
NA,NA,NA,NA,NA,NA,NA,NA,MK5,NTC,Undetermined,P1004,CDC_collab,extraction_control_1234,control
15A6F-Y-T5-1x,15A6F,15,A6,F,Y,T5,1,MK5,UNKNOWN,24.55622,P1004,CDC_collab,2,15-2
15A6F-Y-T5-1x,15A6F,15,A6,F,Y,T5,1,MK5,UNKNOWN,24.35387,P1004,CDC_collab,2,15-2
NA,NA,NA,NA,NA,NA,NA,NA,MK7,NTC,Undetermined,P1004,CDC_collab,extraction_control_1234,control
NA,NA,NA,NA,NA,NA,NA,NA,MK7,NTC,Undetermined,P1004,CDC_collab,extraction_control_1234,control
