sample_id,id,storage_condition,reactor,filtered,RNase_treated,time_point,dilution_factor,target,task,CT,plate_id,Exp_loc,experiment,experiment_manuscript_label
NA,NA,NA,NA,NA,NA,NA,NA,MK7,NTC,33.1982,P1004,CDC_collab,extraction_control_1234,control
15A6F-Y-T5-1x,15A6F,15,A6,F,Y,T5,1,MK7,UNKNOWN,23.46966,P1004,CDC_collab,2,15-2
15A6F-Y-T5-1x,15A6F,15,A6,F,Y,T5,1,MK7,UNKNOWN,23.45376,P1004,CDC_collab,2,15-2
15A6F-N-T0-1x,15A6F,15,A6,F,N,T0,1,ORF,UNKNOWN,21.49321,P1005,CDC_collab,2,15-2
15A6F-N-T0-1x,15A6F,15,A6,F,N,T0,1,ORF,UNKNOWN,21.61458,P1005,CDC_collab,2,15-2
15A6F-N-T1-1x,15A6F,15,A6,F,N,T1,1,ORF,UNKNOWN,21.22589,P1005,CDC_collab,2,15-2
15A6F-N-T1-1x,15A6F,15,A6,F,N,T1,1,ORF,UNKNOWN,21.17855,P1005,CDC_collab,2,15-2
15A6F-N-T3-1x,15A6F,15,A6,F,N,T3,1,ORF,UNKNOWN,21.37111,P1005,CDC_collab,2,15-2
15A6F-N-T3-1x,15A6F,15,A6,F,N,T3,1,ORF,UNKNOWN,21.33516,P1005,CDC_collab,2,15-2
15A6F-N-T5-1x,15A6F,15,A6,F,N,T5,1,ORF,UNKNOWN,21.18678,P1005,CDC_collab,2,15-2
15A6F-N-T5-1x,15A6F,15,A6,F,N,T5,1,ORF,UNKNOWN,21.28223,P1005,CDC_collab,2,15-2
15A6F-Y-T0-1x,15A6F,15,A6,F,Y,T0,1,ORF,UNKNOWN,20.89823,P1005,CDC_collab,2,15-2
15A6F-Y-T0-1x,15A6F,15,A6,F,Y,T0,1,ORF,UNKNOWN,21.46732,P1005,CDC_collab,2,15-2
15A6F-Y-T1-1x,15A6F,15,A6,F,Y,T1,1,ORF,UNKNOWN,21.17101,P1005,CDC_collab,2,15-2
15A6F-Y-T1-1x,15A6F,15,A6,F,Y,T1,1,ORF,UNKNOWN,21.4852,P1005,CDC_collab,2,15-2
15A6F-Y-T3-1x,15A6F,15,A6,F,Y,T3,1,ORF,UNKNOWN,21.56226,P1005,CDC_collab,2,15-2
15A6F-Y-T3-1x,15A6F,15,A6,F,Y,T3,1,ORF,UNKNOWN,21.44716,P1005,CDC_collab,2,15-2
NA,NA,NA,NA,NA,NA,NA,NA,ORF,NTC,Undetermined,P1005,CDC_collab,extraction_control_1234,control
NA,NA,NA,NA,NA,NA,NA,NA,ORF,NTC,Undetermined,P1005,CDC_collab,extraction_control_1234,control
NA,NA,NA,NA,NA,NA,NA,NA,ORF,NTC,Undetermined,P1005,CDC_collab,extraction_control_1234,control
15A6F-Y-T5-1x,15A6F,15,A6,F,Y,T5,1,ORF,UNKNOWN,20.92039,P1005,CDC_collab,2,15-2
15A6F-Y-T5-1x,15A6F,15,A6,F,Y,T5,1,ORF,UNKNOWN,21.17254,P1005,CDC_collab,2,15-2
20A1F-N-T0-1x,20A1F,20,A1,F,N,T0,1,OL1b,UNKNOWN,22.27051,P91,CDC_collab,3,20-1
20A1F-N-T0-1x,20A1F,20,A1,F,N,T0,1,OL1b,UNKNOWN,22.31937,P91,CDC_collab,3,20-1
20A1F-N-T0-5x,20A1F,20,A1,F,N,T0,5,OL1b,UNKNOWN,24.37213,P91,CDC_collab,3,20-1
20A1F-N-T0-5x,20A1F,20,A1,F,N,T0,5,OL1b,UNKNOWN,24.77946,P91,CDC_collab,3,20-1
20A3F-N-T28-1x,20A3F,20,A3,F,N,T28,1,OL1b,UNKNOWN,24.28403,P91,CDC_collab,4,20-2
20A3F-N-T28-1x,20A3F,20,A3,F,N,T28,1,OL1b,UNKNOWN,24.41126,P91,CDC_collab,4,20-2
20A1F-N-T1-1x,20A1F,20,A1,F,N,T1,1,OL1b,UNKNOWN,23.90037,P91,CDC_collab,3,20-1
20A1F-N-T1-1x,20A1F,20,A1,F,N,T1,1,OL1b,UNKNOWN,24.05217,P91,CDC_collab,3,20-1
20A1F-N-T1-5x,20A1F,20,A1,F,N,T1,5,OL1b,UNKNOWN,25.34299,P91,CDC_collab,3,20-1
20A1F-N-T1-5x,20A1F,20,A1,F,N,T1,5,OL1b,UNKNOWN,27.25861,P91,CDC_collab,3,20-1
20A3F-Y-T28-1x,20A3F,20,A3,F,Y,T28,1,OL1b,UNKNOWN,27.48488,P91,CDC_collab,4,20-2
20A3F-Y-T28-1x,20A3F,20,A3,F,Y,T28,1,OL1b,UNKNOWN,27.88081,P91,CDC_collab,4,20-2
20A1F-N-T7-1x,20A1F,20,A1,F,N,T7,1,OL1b,UNKNOWN,25.51211,P91,CDC_collab,3,20-1
20A1F-N-T7-1x,20A1F,20,A1,F,N,T7,1,OL1b,UNKNOWN,25.19487,P91,CDC_collab,3,20-1
20A1F-N-T7-5x,20A1F,20,A1,F,N,T7,5,OL1b,UNKNOWN,26.90974,P91,CDC_collab,3,20-1
20A1F-N-T7-5x,20A1F,20,A1,F,N,T7,5,OL1b,UNKNOWN,27.47742,P91,CDC_collab,3,20-1
20A3F-N-T28-5x,20A3F,20,A3,F,N,T28,5,OL1b,UNKNOWN,24.90747,P91,CDC_collab,4,20-2
20A3F-N-T28-5x,20A3F,20,A3,F,N,T28,5,OL1b,UNKNOWN,24.90202,P91,CDC_collab,4,20-2
20A3F-N-T0-1x,20A3F,20,A3,F,N,T0,1,OL1b,UNKNOWN,23.74403,P91,CDC_collab,4,20-2
20A3F-N-T0-1x,20A3F,20,A3,F,N,T0,1,OL1b,UNKNOWN,23.34858,P91,CDC_collab,4,20-2
20A3F-N-T0-5x,20A3F,20,A3,F,N,T0,5,OL1b,UNKNOWN,26.58491,P91,CDC_collab,4,20-2
20A3F-N-T0-5x,20A3F,20,A3,F,N,T0,5,OL1b,UNKNOWN,26.1691,P91,CDC_collab,4,20-2
20A3F-Y-T0-1x,20A3F,20,A3,F,Y,T0,1,OL1b,UNKNOWN,22.18167,P91,CDC_collab,4,20-2
20A3F-Y-T0-1x,20A3F,20,A3,F,Y,T0,1,OL1b,UNKNOWN,21.82461,P91,CDC_collab,4,20-2
20A3F-Y-T28-5x,20A3F,20,A3,F,Y,T28,5,OL1b,UNKNOWN,24.82665,P91,CDC_collab,4,20-2
20A3F-Y-T28-5x,20A3F,20,A3,F,Y,T28,5,OL1b,UNKNOWN,24.53207,P91,CDC_collab,4,20-2
20A3F-N-T1-1x,20A3F,20,A3,F,N,T1,1,OL1b,UNKNOWN,24.79663,P91,CDC_collab,4,20-2
20A3F-N-T1-1x,20A3F,20,A3,F,N,T1,1,OL1b,UNKNOWN,24.93217,P91,CDC_collab,4,20-2
20A3F-N-T1-5x,20A3F,20,A3,F,N,T1,5,OL1b,UNKNOWN,27.84546,P91,CDC_collab,4,20-2
20A3F-N-T1-5x,20A3F,20,A3,F,N,T1,5,OL1b,UNKNOWN,27.95066,P91,CDC_collab,4,20-2
20A3F-Y-T1-1x,20A3F,20,A3,F,Y,T1,1,OL1b,UNKNOWN,22.44916,P91,CDC_collab,4,20-2
20A3F-Y-T1-1x,20A3F,20,A3,F,Y,T1,1,OL1b,UNKNOWN,22.31634,P91,CDC_collab,4,20-2
20A3F-Y-T1-5x,20A3F,20,A3,F,Y,T1,5,OL1b,UNKNOWN,25.46243,P91,CDC_collab,4,20-2
20A3F-Y-T1-5x,20A3F,20,A3,F,Y,T1,5,OL1b,UNKNOWN,25.21601,P91,CDC_collab,4,20-2
20A3F-N-T7-1x,20A3F,20,A3,F,N,T7,1,OL1b,UNKNOWN,25.33694,P91,CDC_collab,4,20-2
20A3F-N-T7-1x,20A3F,20,A3,F,N,T7,1,OL1b,UNKNOWN,25.36912,P91,CDC_collab,4,20-2
20A3F-N-T7-5x,20A3F,20,A3,F,N,T7,5,OL1b,UNKNOWN,28.72668,P91,CDC_collab,4,20-2
20A3F-N-T7-5x,20A3F,20,A3,F,N,T7,5,OL1b,UNKNOWN,27.88626,P91,CDC_collab,4,20-2
20A3F-Y-T7-1x,20A3F,20,A3,F,Y,T7,1,OL1b,UNKNOWN,22.76625,P91,CDC_collab,4,20-2
20A3F-Y-T7-1x,20A3F,20,A3,F,Y,T7,1,OL1b,UNKNOWN,22.7389,P91,CDC_collab,4,20-2
20A3F-Y-T7-5x,20A3F,20,A3,F,Y,T7,5,OL1b,UNKNOWN,25.8313,P91,CDC_collab,4,20-2
20A3F-Y-T7-5x,20A3F,20,A3,F,Y,T7,5,OL1b,UNKNOWN,25.74757,P91,CDC_collab,4,20-2
20A3F-N-T14-1x,20A3F,20,A3,F,N,T14,1,OL1b,UNKNOWN,26.24362,P91,CDC_collab,4,20-2
20A3F-N-T14-1x,20A3F,20,A3,F,N,T14,1,OL1b,UNKNOWN,26.22478,P91,CDC_collab,4,20-2
20A3F-N-T14-5x,20A3F,20,A3,F,N,T14,5,OL1b,UNKNOWN,28.61174,P91,CDC_collab,4,20-2
20A3F-N-T14-5x,20A3F,20,A3,F,N,T14,5,OL1b,UNKNOWN,28.59052,P91,CDC_collab,4,20-2
20A3F-Y-T14-1x,20A3F,20,A3,F,Y,T14,1,OL1b,UNKNOWN,23.20111,P91,CDC_collab,4,20-2
20A3F-Y-T14-1x,20A3F,20,A3,F,Y,T14,1,OL1b,UNKNOWN,23.15505,P91,CDC_collab,4,20-2
20A3F-Y-T14-5x,20A3F,20,A3,F,Y,T14,5,OL1b,UNKNOWN,26.2465,P91,CDC_collab,4,20-2
20A3F-Y-T14-5x,20A3F,20,A3,F,Y,T14,5,OL1b,UNKNOWN,25.7014,P91,CDC_collab,4,20-2
20A3F-Y-T0-5x,20A3F,20,A3,F,Y,T0,5,OL1b,UNKNOWN,25.42555,P91,CDC_collab,4,20-2
20A3F-Y-T0-5x,20A3F,20,A3,F,Y,T0,5,OL1b,UNKNOWN,25.34385,P91,CDC_collab,4,20-2
NA,NA,NA,NA,NA,NA,NA,NA,OL1b,NTC,33.97143,P91,CDC_collab,extraction_control_1234,control
NA,NA,NA,NA,NA,NA,NA,NA,OL1b,NTC,Undetermined,P91,CDC_collab,extraction_control_1234,control
20A3F-N-T21-1x,20A3F,20,A3,F,N,T21,1,OL1b,UNKNOWN,25.07546,P91,CDC_collab,4,20-2
20A3F-N-T21-1x,20A3F,20,A3,F,N,T21,1,OL1b,UNKNOWN,24.95368,P91,CDC_collab,4,20-2
20A3F-N-T21-5x,20A3F,20,A3,F,N,T21,5,OL1b,UNKNOWN,26.63546,P91,CDC_collab,4,20-2
20A3F-N-T21-5x,20A3F,20,A3,F,N,T21,5,OL1b,UNKNOWN,27.66992,P91,CDC_collab,4,20-2
20A3F-Y-T21-1x,20A3F,20,A3,F,Y,T21,1,OL1b,UNKNOWN,22.90374,P91,CDC_collab,4,20-2
20A3F-Y-T21-1x,20A3F,20,A3,F,Y,T21,1,OL1b,UNKNOWN,22.79408,P91,CDC_collab,4,20-2
20A3F-Y-T21-5x,20A3F,20,A3,F,Y,T21,5,OL1b,UNKNOWN,28.23175,P91,CDC_collab,4,20-2
20A3F-Y-T21-5x,20A3F,20,A3,F,Y,T21,5,OL1b,UNKNOWN,25.96221,P91,CDC_collab,4,20-2
20A1F-N-T0-1x,20A1F,20,A1,F,N,T0,1,OL3a,UNKNOWN,22.68509,P92,CDC_collab,3,20-1
20A1F-N-T0-1x,20A1F,20,A1,F,N,T0,1,OL3a,UNKNOWN,22.70068,P92,CDC_collab,3,20-1
20A1F-N-T0-5x,20A1F,20,A1,F,N,T0,5,OL3a,UNKNOWN,25.28064,P92,CDC_collab,3,20-1
20A1F-N-T0-5x,20A1F,20,A1,F,N,T0,5,OL3a,UNKNOWN,25.50582,P92,CDC_collab,3,20-1
20A3F-N-T28-1x,20A3F,20,A3,F,N,T28,1,OL3a,UNKNOWN,24.31798,P92,CDC_collab,4,20-2
20A3F-N-T28-1x,20A3F,20,A3,F,N,T28,1,OL3a,UNKNOWN,24.44757,P92,CDC_collab,4,20-2
20A1F-N-T1-1x,20A1F,20,A1,F,N,T1,1,OL3a,UNKNOWN,24.33934,P92,CDC_collab,3,20-1
20A1F-N-T1-1x,20A1F,20,A1,F,N,T1,1,OL3a,UNKNOWN,24.46641,P92,CDC_collab,3,20-1
20A1F-N-T1-5x,20A1F,20,A1,F,N,T1,5,OL3a,UNKNOWN,27.11734,P92,CDC_collab,3,20-1
20A1F-N-T1-5x,20A1F,20,A1,F,N,T1,5,OL3a,UNKNOWN,28.20546,P92,CDC_collab,3,20-1
20A3F-Y-T28-1x,20A3F,20,A3,F,Y,T28,1,OL3a,UNKNOWN,23.33082,P92,CDC_collab,4,20-2
20A3F-Y-T28-1x,20A3F,20,A3,F,Y,T28,1,OL3a,UNKNOWN,23.92442,P92,CDC_collab,4,20-2
20A1F-N-T7-1x,20A1F,20,A1,F,N,T7,1,OL3a,UNKNOWN,25.65196,P92,CDC_collab,3,20-1
20A1F-N-T7-1x,20A1F,20,A1,F,N,T7,1,OL3a,UNKNOWN,25.91989,P92,CDC_collab,3,20-1
20A1F-N-T7-5x,20A1F,20,A1,F,N,T7,5,OL3a,UNKNOWN,28.92744,P92,CDC_collab,3,20-1
20A1F-N-T7-5x,20A1F,20,A1,F,N,T7,5,OL3a,UNKNOWN,28.43237,P92,CDC_collab,3,20-1
20A3F-N-T28-5x,20A3F,20,A3,F,N,T28,5,OL3a,UNKNOWN,26.49269,P92,CDC_collab,4,20-2
20A3F-N-T28-5x,20A3F,20,A3,F,N,T28,5,OL3a,UNKNOWN,27.22144,P92,CDC_collab,4,20-2
20A3F-N-T0-1x,20A3F,20,A3,F,N,T0,1,OL3a,UNKNOWN,24.59239,P92,CDC_collab,4,20-2
20A3F-N-T0-1x,20A3F,20,A3,F,N,T0,1,OL3a,UNKNOWN,24.22742,P92,CDC_collab,4,20-2
20A3F-N-T0-5x,20A3F,20,A3,F,N,T0,5,OL3a,UNKNOWN,26.37734,P92,CDC_collab,4,20-2
20A3F-N-T0-5x,20A3F,20,A3,F,N,T0,5,OL3a,UNKNOWN,26.19537,P92,CDC_collab,4,20-2
20A3F-Y-T0-1x,20A3F,20,A3,F,Y,T0,1,OL3a,UNKNOWN,22.32764,P92,CDC_collab,4,20-2
20A3F-Y-T0-1x,20A3F,20,A3,F,Y,T0,1,OL3a,UNKNOWN,22.22427,P92,CDC_collab,4,20-2
20A3F-Y-T0-5x,20A3F,20,A3,F,Y,T0,5,OL3a,UNKNOWN,25.63312,P92,CDC_collab,4,20-2
20A3F-Y-T0-5x,20A3F,20,A3,F,Y,T0,5,OL3a,UNKNOWN,25.58834,P92,CDC_collab,4,20-2
20A3F-Y-T28-5x,20A3F,20,A3,F,Y,T28,5,OL3a,UNKNOWN,25.73504,P92,CDC_collab,4,20-2
20A3F-Y-T28-5x,20A3F,20,A3,F,Y,T28,5,OL3a,UNKNOWN,25.60742,P92,CDC_collab,4,20-2
20A3F-N-T1-1x,20A3F,20,A3,F,N,T1,1,OL3a,UNKNOWN,25.25227,P92,CDC_collab,4,20-2
20A3F-N-T1-1x,20A3F,20,A3,F,N,T1,1,OL3a,UNKNOWN,25.22786,P92,CDC_collab,4,20-2
20A3F-N-T1-5x,20A3F,20,A3,F,N,T1,5,OL3a,UNKNOWN,28.05773,P92,CDC_collab,4,20-2
20A3F-N-T1-5x,20A3F,20,A3,F,N,T1,5,OL3a,UNKNOWN,28.35811,P92,CDC_collab,4,20-2
20A3F-Y-T1-1x,20A3F,20,A3,F,Y,T1,1,OL3a,UNKNOWN,22.74261,P92,CDC_collab,4,20-2
20A3F-Y-T1-1x,20A3F,20,A3,F,Y,T1,1,OL3a,UNKNOWN,22.51604,P92,CDC_collab,4,20-2
20A3F-Y-T1-5x,20A3F,20,A3,F,Y,T1,5,OL3a,UNKNOWN,25.81445,P92,CDC_collab,4,20-2
20A3F-Y-T1-5x,20A3F,20,A3,F,Y,T1,5,OL3a,UNKNOWN,25.64985,P92,CDC_collab,4,20-2
20A3F-N-T7-1x,20A3F,20,A3,F,N,T7,1,OL3a,UNKNOWN,26.38862,P92,CDC_collab,4,20-2
20A3F-N-T7-1x,20A3F,20,A3,F,N,T7,1,OL3a,UNKNOWN,26.31332,P92,CDC_collab,4,20-2
20A3F-N-T7-5x,20A3F,20,A3,F,N,T7,5,OL3a,UNKNOWN,28.44848,P92,CDC_collab,4,20-2
20A3F-N-T7-5x,20A3F,20,A3,F,N,T7,5,OL3a,UNKNOWN,29.40604,P92,CDC_collab,4,20-2
20A3F-Y-T7-1x,20A3F,20,A3,F,Y,T7,1,OL3a,UNKNOWN,23.09381,P92,CDC_collab,4,20-2
20A3F-Y-T7-1x,20A3F,20,A3,F,Y,T7,1,OL3a,UNKNOWN,22.8507,P92,CDC_collab,4,20-2
20A3F-Y-T7-5x,20A3F,20,A3,F,Y,T7,5,OL3a,UNKNOWN,26.25341,P92,CDC_collab,4,20-2
20A3F-Y-T7-5x,20A3F,20,A3,F,Y,T7,5,OL3a,UNKNOWN,26.56376,P92,CDC_collab,4,20-2
20A3F-N-T14-1x,20A3F,20,A3,F,N,T14,1,OL3a,UNKNOWN,26.81498,P92,CDC_collab,4,20-2
20A3F-N-T14-1x,20A3F,20,A3,F,N,T14,1,OL3a,UNKNOWN,26.49135,P92,CDC_collab,4,20-2
20A3F-N-T14-5x,20A3F,20,A3,F,N,T14,5,OL3a,UNKNOWN,29.011,P92,CDC_collab,4,20-2
20A3F-N-T14-5x,20A3F,20,A3,F,N,T14,5,OL3a,UNKNOWN,29.53575,P92,CDC_collab,4,20-2
20A3F-Y-T14-1x,20A3F,20,A3,F,Y,T14,1,OL3a,UNKNOWN,23.72437,P92,CDC_collab,4,20-2
20A3F-Y-T14-1x,20A3F,20,A3,F,Y,T14,1,OL3a,UNKNOWN,23.42484,P92,CDC_collab,4,20-2
20A3F-Y-T14-5x,20A3F,20,A3,F,Y,T14,5,OL3a,UNKNOWN,26.12246,P92,CDC_collab,4,20-2
20A3F-Y-T14-5x,20A3F,20,A3,F,Y,T14,5,OL3a,UNKNOWN,26.3482,P92,CDC_collab,4,20-2
NA,NA,NA,NA,NA,NA,NA,NA,OL3a,NTC,38.89718,P92,CDC_collab,extraction_control_1234,control
NA,NA,NA,NA,NA,NA,NA,NA,OL3a,NTC,32.77946,P92,CDC_collab,extraction_control_1234,control
20A3F-N-T21-1x,20A3F,20,A3,F,N,T21,1,OL3a,UNKNOWN,25.79071,P92,CDC_collab,4,20-2
20A3F-N-T21-1x,20A3F,20,A3,F,N,T21,1,OL3a,UNKNOWN,25.53326,P92,CDC_collab,4,20-2
20A3F-N-T21-5x,20A3F,20,A3,F,N,T21,5,OL3a,UNKNOWN,28.6111,P92,CDC_collab,4,20-2
20A3F-N-T21-5x,20A3F,20,A3,F,N,T21,5,OL3a,UNKNOWN,28.01557,P92,CDC_collab,4,20-2
20A3F-Y-T21-1x,20A3F,20,A3,F,Y,T21,1,OL3a,UNKNOWN,23.40628,P92,CDC_collab,4,20-2
20A3F-Y-T21-1x,20A3F,20,A3,F,Y,T21,1,OL3a,UNKNOWN,23.40175,P92,CDC_collab,4,20-2
20A3F-Y-T21-5x,20A3F,20,A3,F,Y,T21,5,OL3a,UNKNOWN,25.57569,P92,CDC_collab,4,20-2
20A3F-Y-T21-5x,20A3F,20,A3,F,Y,T21,5,OL3a,UNKNOWN,25.91353,P92,CDC_collab,4,20-2
20A1F-N-T0-1x,20A1F,20,A1,F,N,T0,1,OL5a,UNKNOWN,22.96999,P93,CDC_collab,3,20-1
20A1F-N-T0-1x,20A1F,20,A1,F,N,T0,1,OL5a,UNKNOWN,23.42289,P93,CDC_collab,3,20-1
20A1F-N-T0-5x,20A1F,20,A1,F,N,T0,5,OL5a,UNKNOWN,25.68602,P93,CDC_collab,3,20-1
20A1F-N-T0-5x,20A1F,20,A1,F,N,T0,5,OL5a,UNKNOWN,25.70141,P93,CDC_collab,3,20-1
20A3F-N-T28-1x,20A3F,20,A3,F,N,T28,1,OL5a,UNKNOWN,24.95198,P93,CDC_collab,4,20-2
20A3F-N-T28-1x,20A3F,20,A3,F,N,T28,1,OL5a,UNKNOWN,24.91264,P93,CDC_collab,4,20-2
20A1F-N-T1-1x,20A1F,20,A1,F,N,T1,1,OL5a,UNKNOWN,24.82096,P93,CDC_collab,3,20-1
20A1F-N-T1-1x,20A1F,20,A1,F,N,T1,1,OL5a,UNKNOWN,24.77012,P93,CDC_collab,3,20-1
20A1F-N-T1-5x,20A1F,20,A1,F,N,T1,5,OL5a,UNKNOWN,27.52927,P93,CDC_collab,3,20-1
20A1F-N-T1-5x,20A1F,20,A1,F,N,T1,5,OL5a,UNKNOWN,28.573,P93,CDC_collab,3,20-1
20A3F-Y-T28-1x,20A3F,20,A3,F,Y,T28,1,OL5a,UNKNOWN,23.80283,P93,CDC_collab,4,20-2
20A3F-Y-T28-1x,20A3F,20,A3,F,Y,T28,1,OL5a,UNKNOWN,23.75542,P93,CDC_collab,4,20-2
20A1F-N-T7-1x,20A1F,20,A1,F,N,T7,1,OL5a,UNKNOWN,25.8651,P93,CDC_collab,3,20-1
20A1F-N-T7-1x,20A1F,20,A1,F,N,T7,1,OL5a,UNKNOWN,25.76264,P93,CDC_collab,3,20-1
20A1F-N-T7-5x,20A1F,20,A1,F,N,T7,5,OL5a,UNKNOWN,29.46879,P93,CDC_collab,3,20-1
20A1F-N-T7-5x,20A1F,20,A1,F,N,T7,5,OL5a,UNKNOWN,28.03657,P93,CDC_collab,3,20-1
20A3F-N-T28-5x,20A3F,20,A3,F,N,T28,5,OL5a,UNKNOWN,27.36139,P93,CDC_collab,4,20-2
20A3F-N-T28-5x,20A3F,20,A3,F,N,T28,5,OL5a,UNKNOWN,28.30845,P93,CDC_collab,4,20-2
20A3F-N-T0-1x,20A3F,20,A3,F,N,T0,1,OL5a,UNKNOWN,24.66566,P93,CDC_collab,4,20-2
20A3F-N-T0-1x,20A3F,20,A3,F,N,T0,1,OL5a,UNKNOWN,24.31191,P93,CDC_collab,4,20-2
20A3F-N-T0-5x,20A3F,20,A3,F,N,T0,5,OL5a,UNKNOWN,26.84863,P93,CDC_collab,4,20-2
20A3F-N-T0-5x,20A3F,20,A3,F,N,T0,5,OL5a,UNKNOWN,27.39787,P93,CDC_collab,4,20-2
20A3F-Y-T0-1x,20A3F,20,A3,F,Y,T0,1,OL5a,UNKNOWN,22.79686,P93,CDC_collab,4,20-2
20A3F-Y-T0-1x,20A3F,20,A3,F,Y,T0,1,OL5a,UNKNOWN,22.90366,P93,CDC_collab,4,20-2
20A3F-Y-T0-5x,20A3F,20,A3,F,Y,T0,5,OL5a,UNKNOWN,25.80844,P93,CDC_collab,4,20-2
20A3F-Y-T0-5x,20A3F,20,A3,F,Y,T0,5,OL5a,UNKNOWN,25.72239,P93,CDC_collab,4,20-2
20A3F-Y-T28-5x,20A3F,20,A3,F,Y,T28,5,OL5a,UNKNOWN,25.96764,P93,CDC_collab,4,20-2
20A3F-Y-T28-5x,20A3F,20,A3,F,Y,T28,5,OL5a,UNKNOWN,26.40513,P93,CDC_collab,4,20-2
20A3F-N-T1-1x,20A3F,20,A3,F,N,T1,1,OL5a,UNKNOWN,25.66973,P93,CDC_collab,4,20-2
20A3F-N-T1-1x,20A3F,20,A3,F,N,T1,1,OL5a,UNKNOWN,25.6591,P93,CDC_collab,4,20-2
